image_path,image_width,image_height,image_format,num_targets,classes,has_annotations,video_path,video_name,frame_number
/home/data/F2/videos/2025-05-14/images/A03_001b610a-35ee-3d63-b2e3-4ed676d72e90_124.jpg,1920,1080,JPEG,0,Background,No,/home/data/F2/videos/2025-05-14/images/A03_001b610a-35ee-3d63-b2e3-4ed676d72e90.mp4,A03_001b610a-35ee-3d63-b2e3-4ed676d72e90,124
/home/data/F2/videos/2025-05-14/images/A03_001b610a-35ee-3d63-b2e3-4ed676d72e90_149.jpg,1920,1080,JPEG,0,Background,No,/home/data/F2/videos/2025-05-14/images/A03_001b610a-35ee-3d63-b2e3-4ed676d72e90.mp4,A03_001b610a-35ee-3d63-b2e3-4ed676d72e90,149
/home/data/F2/videos/2025-05-14/images/A03_001b610a-35ee-3d63-b2e3-4ed676d72e90_174.jpg,1920,1080,JPEG,0,Background,No,/home/data/F2/videos/2025-05-14/images/A03_001b610a-35ee-3d63-b2e3-4ed676d72e90.mp4,A03_001b610a-35ee-3d63-b2e3-4ed676d72e90,174
/home/data/F2/videos/2025-05-14/images/A03_001b610a-35ee-3d63-b2e3-4ed676d72e90_199.jpg,1920,1080,JPEG,0,Background,No,/home/data/F2/videos/2025-05-14/images/A03_001b610a-35ee-3d63-b2e3-4ed676d72e90.mp4,A03_001b610a-35ee-3d63-b2e3-4ed676d72e90,199
/home/data/F2/videos/2025-05-14/images/A03_001b610a-35ee-3d63-b2e3-4ed676d72e90_224.jpg,1920,1080,JPEG,0,Background,No,/home/data/F2/videos/2025-05-14/images/A03_001b610a-35ee-3d63-b2e3-4ed676d72e90.mp4,A03_001b610a-35ee-3d63-b2e3-4ed676d72e90,224
/home/data/F2/videos/2025-05-14/images/A03_001b610a-35ee-3d63-b2e3-4ed676d72e90_24.jpg,1920,1080,JPEG,0,Background,No,/home/data/F2/videos/2025-05-14/images/A03_001b610a-35ee-3d63-b2e3-4ed676d72e90.mp4,A03_001b610a-35ee-3d63-b2e3-4ed676d72e90,24
/home/data/F2/videos/2025-05-14/images/A03_001b610a-35ee-3d63-b2e3-4ed676d72e90_49.jpg,1920,1080,JPEG,0,Background,No,/home/data/F2/videos/2025-05-14/images/A03_001b610a-35ee-3d63-b2e3-4ed676d72e90.mp4,A03_001b610a-35ee-3d63-b2e3-4ed676d72e90,49
/home/data/F2/videos/2025-05-14/images/A03_001b610a-35ee-3d63-b2e3-4ed676d72e90_74.jpg,1920,1080,JPEG,0,Background,No,/home/data/F2/videos/2025-05-14/images/A03_001b610a-35ee-3d63-b2e3-4ed676d72e90.mp4,A03_001b610a-35ee-3d63-b2e3-4ed676d72e90,74
/home/data/F2/videos/2025-05-14/images/A03_001b610a-35ee-3d63-b2e3-4ed676d72e90_99.jpg,1920,1080,JPEG,0,Background,No,/home/data/F2/videos/2025-05-14/images/A03_001b610a-35ee-3d63-b2e3-4ed676d72e90.mp4,A03_001b610a-35ee-3d63-b2e3-4ed676d72e90,99
/home/data/F2/videos/2025-05-14/images/A03_00284901-1307-3b46-b14e-7edc03355297_0.jpg,1920,1080,JPEG,0,Background,No,/home/data/F2/videos/2025-05-14/images/A03_00284901-1307-3b46-b14e-7edc03355297.mp4,A03_00284901-1307-3b46-b14e-7edc03355297,0
/home/data/F2/videos/2025-05-14/images/A03_00284901-1307-3b46-b14e-7edc03355297_124.jpg,1920,1080,JPEG,0,Background,No,/home/data/F2/videos/2025-05-14/images/A03_00284901-1307-3b46-b14e-7edc03355297.mp4,A03_00284901-1307-3b46-b14e-7edc03355297,124
/home/data/F2/videos/2025-05-14/images/A03_00284901-1307-3b46-b14e-7edc03355297_149.jpg,1920,1080,JPEG,0,Background,No,/home/data/F2/videos/2025-05-14/images/A03_00284901-1307-3b46-b14e-7edc03355297.mp4,A03_00284901-1307-3b46-b14e-7edc03355297,149
/home/data/F2/videos/2025-05-14/images/A03_00284901-1307-3b46-b14e-7edc03355297_174.jpg,1920,1080,JPEG,0,Background,No,/home/data/F2/videos/2025-05-14/images/A03_00284901-1307-3b46-b14e-7edc03355297.mp4,A03_00284901-1307-3b46-b14e-7edc03355297,174
/home/data/F2/videos/2025-05-14/images/A03_00284901-1307-3b46-b14e-7edc03355297_199.jpg,1920,1080,JPEG,0,Background,No,/home/data/F2/videos/2025-05-14/images/A03_00284901-1307-3b46-b14e-7edc03355297.mp4,A03_00284901-1307-3b46-b14e-7edc03355297,199
/home/data/F2/videos/2025-05-14/images/A03_00284901-1307-3b46-b14e-7edc03355297_224.jpg,1920,1080,JPEG,0,Background,No,/home/data/F2/videos/2025-05-14/images/A03_00284901-1307-3b46-b14e-7edc03355297.mp4,A03_00284901-1307-3b46-b14e-7edc03355297,224
/home/data/F2/videos/2025-05-14/images/A03_00284901-1307-3b46-b14e-7edc03355297_24.jpg,1920,1080,JPEG,0,Background,No,/home/data/F2/videos/2025-05-14/images/A03_00284901-1307-3b46-b14e-7edc03355297.mp4,A03_00284901-1307-3b46-b14e-7edc03355297,24
/home/data/F2/videos/2025-05-14/images/A03_00284901-1307-3b46-b14e-7edc03355297_49.jpg,1920,1080,JPEG,0,Background,No,/home/data/F2/videos/2025-05-14/images/A03_00284901-1307-3b46-b14e-7edc03355297.mp4,A03_00284901-1307-3b46-b14e-7edc03355297,49
/home/data/F2/videos/2025-05-14/images/A03_00284901-1307-3b46-b14e-7edc03355297_74.jpg,1920,1080,JPEG,0,Background,No,/home/data/F2/videos/2025-05-14/images/A03_00284901-1307-3b46-b14e-7edc03355297.mp4,A03_00284901-1307-3b46-b14e-7edc03355297,74
/home/data/F2/videos/2025-05-14/images/A03_00284901-1307-3b46-b14e-7edc03355297_99.jpg,1920,1080,JPEG,0,Background,No,/home/data/F2/videos/2025-05-14/images/A03_00284901-1307-3b46-b14e-7edc03355297.mp4,A03_00284901-1307-3b46-b14e-7edc03355297,99
/home/data/F2/videos/2025-05-14/images/A03_0034227a-98b6-3e0d-8f68-164a9e724c56_0.jpg,1920,1080,JPEG,0,Background,No,/home/data/F2/videos/2025-05-14/images/A03_0034227a-98b6-3e0d-8f68-164a9e724c56.mp4,A03_0034227a-98b6-3e0d-8f68-164a9e724c56,0
/home/data/F2/videos/2025-05-14/images/A03_0034227a-98b6-3e0d-8f68-164a9e724c56_124.jpg,1920,1080,JPEG,0,Background,No,/home/data/F2/videos/2025-05-14/images/A03_0034227a-98b6-3e0d-8f68-164a9e724c56.mp4,A03_0034227a-98b6-3e0d-8f68-164a9e724c56,124
/home/data/F2/videos/2025-05-14/images/A03_0034227a-98b6-3e0d-8f68-164a9e724c56_149.jpg,1920,1080,JPEG,0,Background,No,/home/data/F2/videos/2025-05-14/images/A03_0034227a-98b6-3e0d-8f68-164a9e724c56.mp4,A03_0034227a-98b6-3e0d-8f68-164a9e724c56,149
/home/data/F2/videos/2025-05-14/images/A03_0034227a-98b6-3e0d-8f68-164a9e724c56_174.jpg,1920,1080,JPEG,0,Background,No,/home/data/F2/videos/2025-05-14/images/A03_0034227a-98b6-3e0d-8f68-164a9e724c56.mp4,A03_0034227a-98b6-3e0d-8f68-164a9e724c56,174
/home/data/F2/videos/2025-05-14/images/A03_0034227a-98b6-3e0d-8f68-164a9e724c56_199.jpg,1920,1080,JPEG,0,Background,No,/home/data/F2/videos/2025-05-14/images/A03_0034227a-98b6-3e0d-8f68-164a9e724c56.mp4,A03_0034227a-98b6-3e0d-8f68-164a9e724c56,199
/home/data/F2/videos/2025-05-14/images/A03_0034227a-98b6-3e0d-8f68-164a9e724c56_224.jpg,1920,1080,JPEG,0,Background,No,/home/data/F2/videos/2025-05-14/images/A03_0034227a-98b6-3e0d-8f68-164a9e724c56.mp4,A03_0034227a-98b6-3e0d-8f68-164a9e724c56,224
/home/data/F2/videos/2025-05-14/images/A03_0034227a-98b6-3e0d-8f68-164a9e724c56_24.jpg,1920,1080,JPEG,0,Background,No,/home/data/F2/videos/2025-05-14/images/A03_0034227a-98b6-3e0d-8f68-164a9e724c56.mp4,A03_0034227a-98b6-3e0d-8f68-164a9e724c56,24
/home/data/F2/videos/2025-05-14/images/A03_0034227a-98b6-3e0d-8f68-164a9e724c56_49.jpg,1920,1080,JPEG,0,Background,No,/home/data/F2/videos/2025-05-14/images/A03_0034227a-98b6-3e0d-8f68-164a9e724c56.mp4,A03_0034227a-98b6-3e0d-8f68-164a9e724c56,49
/home/data/F2/videos/2025-05-14/images/A03_0034227a-98b6-3e0d-8f68-164a9e724c56_74.jpg,1920,1080,JPEG,0,Background,No,/home/data/F2/videos/2025-05-14/images/A03_0034227a-98b6-3e0d-8f68-164a9e724c56.mp4,A03_0034227a-98b6-3e0d-8f68-164a9e724c56,74
/home/data/F2/videos/2025-05-14/images/A03_0034227a-98b6-3e0d-8f68-164a9e724c56_99.jpg,1920,1080,JPEG,0,Background,No,/home/data/F2/videos/2025-05-14/images/A03_0034227a-98b6-3e0d-8f68-164a9e724c56.mp4,A03_0034227a-98b6-3e0d-8f68-164a9e724c56,99
/home/data/F2/videos/2025-05-14/images/A03_004155b2-3b44-3e93-833e-92901b5ff614_0.jpg,1920,1080,JPEG,0,Background,No,/home/data/F2/videos/2025-05-14/images/A03_004155b2-3b44-3e93-833e-92901b5ff614.mp4,A03_004155b2-3b44-3e93-833e-92901b5ff614,0
/home/data/F2/videos/2025-05-14/images/A03_004155b2-3b44-3e93-833e-92901b5ff614_124.jpg,1920,1080,JPEG,0,Background,No,/home/data/F2/videos/2025-05-14/images/A03_004155b2-3b44-3e93-833e-92901b5ff614.mp4,A03_004155b2-3b44-3e93-833e-92901b5ff614,124
/home/data/F2/videos/2025-05-14/images/A03_004155b2-3b44-3e93-833e-92901b5ff614_149.jpg,1920,1080,JPEG,0,Background,No,/home/data/F2/videos/2025-05-14/images/A03_004155b2-3b44-3e93-833e-92901b5ff614.mp4,A03_004155b2-3b44-3e93-833e-92901b5ff614,149
/home/data/F2/videos/2025-05-14/images/A03_004155b2-3b44-3e93-833e-92901b5ff614_174.jpg,1920,1080,JPEG,0,Background,No,/home/data/F2/videos/2025-05-14/images/A03_004155b2-3b44-3e93-833e-92901b5ff614.mp4,A03_004155b2-3b44-3e93-833e-92901b5ff614,174
/home/data/F2/videos/2025-05-14/images/A03_004155b2-3b44-3e93-833e-92901b5ff614_199.jpg,1920,1080,JPEG,0,Background,No,/home/data/F2/videos/2025-05-14/images/A03_004155b2-3b44-3e93-833e-92901b5ff614.mp4,A03_004155b2-3b44-3e93-833e-92901b5ff614,199
/home/data/F2/videos/2025-05-14/images/A03_004155b2-3b44-3e93-833e-92901b5ff614_224.jpg,1920,1080,JPEG,0,Background,No,/home/data/F2/videos/2025-05-14/images/A03_004155b2-3b44-3e93-833e-92901b5ff614.mp4,A03_004155b2-3b44-3e93-833e-92901b5ff614,224
/home/data/F2/videos/2025-05-14/images/A03_004155b2-3b44-3e93-833e-92901b5ff614_24.jpg,1920,1080,JPEG,0,Background,No,/home/data/F2/videos/2025-05-14/images/A03_004155b2-3b44-3e93-833e-92901b5ff614.mp4,A03_004155b2-3b44-3e93-833e-92901b5ff614,24
/home/data/F2/videos/2025-05-14/images/A03_004155b2-3b44-3e93-833e-92901b5ff614_49.jpg,1920,1080,JPEG,0,Background,No,/home/data/F2/videos/2025-05-14/images/A03_004155b2-3b44-3e93-833e-92901b5ff614.mp4,A03_004155b2-3b44-3e93-833e-92901b5ff614,49
/home/data/F2/videos/2025-05-14/images/A03_004155b2-3b44-3e93-833e-92901b5ff614_74.jpg,1920,1080,JPEG,0,Background,No,/home/data/F2/videos/2025-05-14/images/A03_004155b2-3b44-3e93-833e-92901b5ff614.mp4,A03_004155b2-3b44-3e93-833e-92901b5ff614,74
/home/data/F2/videos/2025-05-14/images/A03_004155b2-3b44-3e93-833e-92901b5ff614_99.jpg,1920,1080,JPEG,0,Background,No,/home/data/F2/videos/2025-05-14/images/A03_004155b2-3b44-3e93-833e-92901b5ff614.mp4,A03_004155b2-3b44-3e93-833e-92901b5ff614,99
/home/data/F2/videos/2025-05-14/images/A03_006c8105-54c5-3b7b-a735-b255582568d1_0.jpg,1920,1080,JPEG,0,Background,No,/home/data/F2/videos/2025-05-14/images/A03_006c8105-54c5-3b7b-a735-b255582568d1.mp4,A03_006c8105-54c5-3b7b-a735-b255582568d1,0
/home/data/F2/videos/2025-05-14/images/A03_006c8105-54c5-3b7b-a735-b255582568d1_124.jpg,1920,1080,JPEG,0,Background,No,/home/data/F2/videos/2025-05-14/images/A03_006c8105-54c5-3b7b-a735-b255582568d1.mp4,A03_006c8105-54c5-3b7b-a735-b255582568d1,124
/home/data/F2/videos/2025-05-14/images/A03_006c8105-54c5-3b7b-a735-b255582568d1_149.jpg,1920,1080,JPEG,0,Background,No,/home/data/F2/videos/2025-05-14/images/A03_006c8105-54c5-3b7b-a735-b255582568d1.mp4,A03_006c8105-54c5-3b7b-a735-b255582568d1,149
/home/data/F2/videos/2025-05-14/images/A03_006c8105-54c5-3b7b-a735-b255582568d1_174.jpg,1920,1080,JPEG,0,Background,No,/home/data/F2/videos/2025-05-14/images/A03_006c8105-54c5-3b7b-a735-b255582568d1.mp4,A03_006c8105-54c5-3b7b-a735-b255582568d1,174
/home/data/F2/videos/2025-05-14/images/A03_006c8105-54c5-3b7b-a735-b255582568d1_199.jpg,1920,1080,JPEG,0,Background,No,/home/data/F2/videos/2025-05-14/images/A03_006c8105-54c5-3b7b-a735-b255582568d1.mp4,A03_006c8105-54c5-3b7b-a735-b255582568d1,199
/home/data/F2/videos/2025-05-14/images/A03_006c8105-54c5-3b7b-a735-b255582568d1_224.jpg,1920,1080,JPEG,0,Background,No,/home/data/F2/videos/2025-05-14/images/A03_006c8105-54c5-3b7b-a735-b255582568d1.mp4,A03_006c8105-54c5-3b7b-a735-b255582568d1,224
/home/data/F2/videos/2025-05-14/images/A03_006c8105-54c5-3b7b-a735-b255582568d1_24.jpg,1920,1080,JPEG,0,Background,No,/home/data/F2/videos/2025-05-14/images/A03_006c8105-54c5-3b7b-a735-b255582568d1.mp4,A03_006c8105-54c5-3b7b-a735-b255582568d1,24
/home/data/F2/videos/2025-05-14/images/A03_006c8105-54c5-3b7b-a735-b255582568d1_49.jpg,1920,1080,JPEG,0,Background,No,/home/data/F2/videos/2025-05-14/images/A03_006c8105-54c5-3b7b-a735-b255582568d1.mp4,A03_006c8105-54c5-3b7b-a735-b255582568d1,49
/home/data/F2/videos/2025-05-14/images/A03_006c8105-54c5-3b7b-a735-b255582568d1_74.jpg,1920,1080,JPEG,0,Background,No,/home/data/F2/videos/2025-05-14/images/A03_006c8105-54c5-3b7b-a735-b255582568d1.mp4,A03_006c8105-54c5-3b7b-a735-b255582568d1,74
/home/data/F2/videos/2025-05-14/images/A03_006c8105-54c5-3b7b-a735-b255582568d1_99.jpg,1920,1080,JPEG,0,Background,No,/home/data/F2/videos/2025-05-14/images/A03_006c8105-54c5-3b7b-a735-b255582568d1.mp4,A03_006c8105-54c5-3b7b-a735-b255582568d1,99
/home/data/F2/videos/2025-05-14/images/A03_007d2d61-96fa-346a-816f-0ac381650a86_0.jpg,1920,1080,JPEG,0,Background,No,/home/data/F2/videos/2025-05-14/images/A03_007d2d61-96fa-346a-816f-0ac381650a86.mp4,A03_007d2d61-96fa-346a-816f-0ac381650a86,0
/home/data/F2/videos/2025-05-14/images/A03_007d2d61-96fa-346a-816f-0ac381650a86_124.jpg,1920,1080,JPEG,0,Background,No,/home/data/F2/videos/2025-05-14/images/A03_007d2d61-96fa-346a-816f-0ac381650a86.mp4,A03_007d2d61-96fa-346a-816f-0ac381650a86,124
/home/data/F2/videos/2025-05-14/images/A03_007d2d61-96fa-346a-816f-0ac381650a86_149.jpg,1920,1080,JPEG,0,Background,No,/home/data/F2/videos/2025-05-14/images/A03_007d2d61-96fa-346a-816f-0ac381650a86.mp4,A03_007d2d61-96fa-346a-816f-0ac381650a86,149
/home/data/F2/videos/2025-05-14/images/A03_007d2d61-96fa-346a-816f-0ac381650a86_174.jpg,1920,1080,JPEG,0,Background,No,/home/data/F2/videos/2025-05-14/images/A03_007d2d61-96fa-346a-816f-0ac381650a86.mp4,A03_007d2d61-96fa-346a-816f-0ac381650a86,174
/home/data/F2/videos/2025-05-14/images/A03_007d2d61-96fa-346a-816f-0ac381650a86_199.jpg,1920,1080,JPEG,0,Background,No,/home/data/F2/videos/2025-05-14/images/A03_007d2d61-96fa-346a-816f-0ac381650a86.mp4,A03_007d2d61-96fa-346a-816f-0ac381650a86,199
/home/data/F2/videos/2025-05-14/images/A03_007d2d61-96fa-346a-816f-0ac381650a86_224.jpg,1920,1080,JPEG,0,Background,No,/home/data/F2/videos/2025-05-14/images/A03_007d2d61-96fa-346a-816f-0ac381650a86.mp4,A03_007d2d61-96fa-346a-816f-0ac381650a86,224
/home/data/F2/videos/2025-05-14/images/A03_007d2d61-96fa-346a-816f-0ac381650a86_24.jpg,1920,1080,JPEG,0,Background,No,/home/data/F2/videos/2025-05-14/images/A03_007d2d61-96fa-346a-816f-0ac381650a86.mp4,A03_007d2d61-96fa-346a-816f-0ac381650a86,24
/home/data/F2/videos/2025-05-14/images/A03_007d2d61-96fa-346a-816f-0ac381650a86_49.jpg,1920,1080,JPEG,0,Background,No,/home/data/F2/videos/2025-05-14/images/A03_007d2d61-96fa-346a-816f-0ac381650a86.mp4,A03_007d2d61-96fa-346a-816f-0ac381650a86,49
/home/data/F2/videos/2025-05-14/images/A03_007d2d61-96fa-346a-816f-0ac381650a86_74.jpg,1920,1080,JPEG,0,Background,No,/home/data/F2/videos/2025-05-14/images/A03_007d2d61-96fa-346a-816f-0ac381650a86.mp4,A03_007d2d61-96fa-346a-816f-0ac381650a86,74
/home/data/F2/videos/2025-05-14/images/A03_007d2d61-96fa-346a-816f-0ac381650a86_99.jpg,1920,1080,JPEG,0,Background,No,/home/data/F2/videos/2025-05-14/images/A03_007d2d61-96fa-346a-816f-0ac381650a86.mp4,A03_007d2d61-96fa-346a-816f-0ac381650a86,99
/home/data/F2/videos/2025-05-14/images/A03_0083e166-e924-38bf-8ada-4016794dd6d6_0.jpg,1920,1080,JPEG,0,Background,No,/home/data/F2/videos/2025-05-14/images/A03_0083e166-e924-38bf-8ada-4016794dd6d6.mp4,A03_0083e166-e924-38bf-8ada-4016794dd6d6,0
/home/data/F2/videos/2025-05-14/images/A03_0083e166-e924-38bf-8ada-4016794dd6d6_124.jpg,1920,1080,JPEG,0,Background,No,/home/data/F2/videos/2025-05-14/images/A03_0083e166-e924-38bf-8ada-4016794dd6d6.mp4,A03_0083e166-e924-38bf-8ada-4016794dd6d6,124
/home/data/F2/videos/2025-05-14/images/A03_0083e166-e924-38bf-8ada-4016794dd6d6_149.jpg,1920,1080,JPEG,0,Background,No,/home/data/F2/videos/2025-05-14/images/A03_0083e166-e924-38bf-8ada-4016794dd6d6.mp4,A03_0083e166-e924-38bf-8ada-4016794dd6d6,149
/home/data/F2/videos/2025-05-14/images/A03_0083e166-e924-38bf-8ada-4016794dd6d6_174.jpg,1920,1080,JPEG,0,Background,No,/home/data/F2/videos/2025-05-14/images/A03_0083e166-e924-38bf-8ada-4016794dd6d6.mp4,A03_0083e166-e924-38bf-8ada-4016794dd6d6,174
/home/data/F2/videos/2025-05-14/images/A03_0083e166-e924-38bf-8ada-4016794dd6d6_199.jpg,1920,1080,JPEG,0,Background,No,/home/data/F2/videos/2025-05-14/images/A03_0083e166-e924-38bf-8ada-4016794dd6d6.mp4,A03_0083e166-e924-38bf-8ada-4016794dd6d6,199
/home/data/F2/videos/2025-05-14/images/A03_0083e166-e924-38bf-8ada-4016794dd6d6_224.jpg,1920,1080,JPEG,0,Background,No,/home/data/F2/videos/2025-05-14/images/A03_0083e166-e924-38bf-8ada-4016794dd6d6.mp4,A03_0083e166-e924-38bf-8ada-4016794dd6d6,224
/home/data/F2/videos/2025-05-14/images/A03_0083e166-e924-38bf-8ada-4016794dd6d6_24.jpg,1920,1080,JPEG,0,Background,No,/home/data/F2/videos/2025-05-14/images/A03_0083e166-e924-38bf-8ada-4016794dd6d6.mp4,A03_0083e166-e924-38bf-8ada-4016794dd6d6,24
/home/data/F2/videos/2025-05-14/images/A03_0083e166-e924-38bf-8ada-4016794dd6d6_49.jpg,1920,1080,JPEG,0,Background,No,/home/data/F2/videos/2025-05-14/images/A03_0083e166-e924-38bf-8ada-4016794dd6d6.mp4,A03_0083e166-e924-38bf-8ada-4016794dd6d6,49
/home/data/F2/videos/2025-05-14/images/A03_0083e166-e924-38bf-8ada-4016794dd6d6_74.jpg,1920,1080,JPEG,0,Background,No,/home/data/F2/videos/2025-05-14/images/A03_0083e166-e924-38bf-8ada-4016794dd6d6.mp4,A03_0083e166-e924-38bf-8ada-4016794dd6d6,74
/home/data/F2/videos/2025-05-14/images/A03_0083e166-e924-38bf-8ada-4016794dd6d6_99.jpg,1920,1080,JPEG,0,Background,No,/home/data/F2/videos/2025-05-14/images/A03_0083e166-e924-38bf-8ada-4016794dd6d6.mp4,A03_0083e166-e924-38bf-8ada-4016794dd6d6,99
/home/data/F2/videos/2025-05-14/images/A03_009ca9a9-dbda-3d64-a6c6-e414f9834742_0.jpg,1920,1080,JPEG,0,Background,No,/home/data/F2/videos/2025-05-14/images/A03_009ca9a9-dbda-3d64-a6c6-e414f9834742.mp4,A03_009ca9a9-dbda-3d64-a6c6-e414f9834742,0
/home/data/F2/videos/2025-05-14/images/A03_009ca9a9-dbda-3d64-a6c6-e414f9834742_11.jpg,1920,1080,JPEG,0,Background,No,/home/data/F2/videos/2025-05-14/images/A03_009ca9a9-dbda-3d64-a6c6-e414f9834742.mp4,A03_009ca9a9-dbda-3d64-a6c6-e414f9834742,11
/home/data/F2/videos/2025-05-14/images/A03_009ca9a9-dbda-3d64-a6c6-e414f9834742_124.jpg,1920,1080,JPEG,1,Plane,Yes,/home/data/F2/videos/2025-05-14/images/A03_009ca9a9-dbda-3d64-a6c6-e414f9834742.mp4,A03_009ca9a9-dbda-3d64-a6c6-e414f9834742,124
/home/data/F2/videos/2025-05-14/images/A03_009ca9a9-dbda-3d64-a6c6-e414f9834742_149.jpg,1920,1080,JPEG,1,Plane,Yes,/home/data/F2/videos/2025-05-14/images/A03_009ca9a9-dbda-3d64-a6c6-e414f9834742.mp4,A03_009ca9a9-dbda-3d64-a6c6-e414f9834742,149
